27
0	1	1
0	4	1
0	2	1
1	0	1
1	6	1	
1	5	1
1	3	1
2	0	1
2	4	1
2	9	1
3	1	1	
3	5	1	
3	13	1
4	0	1
4	2	1
4	8	1
4	7	1
5	1	1
5	3	1
5	12	1
5	13	1
5	6	1
6	1	1
6	5	1
6	12	1
6	7	1
7	4	1
7	6	1
7	8	1
7	11	1
8	4	1
8	9	1
8	10	1
8	15	1
8	11	1
8	7	1
9	2	1
9	8	1
9	10	1
9	17	1
10	8	1
10	9	1
10	17	1
10	16	1
11	8	1
11	7	1
11	12	1
11	14	1
11	15	1
12	5	1
12	6	1
12	11	1
12	13	1
13	3	1
13	5	1
13	12	1
13	14	1
13	21	1
13	24	1
14	13	1
14	11	1
14	20	1
14	21	1
15	11	1
15	8	1
15	16	1
15	19	1
15	20	1
16	15	1
16	19	1
16	23	1
16	10	1
16	18	1
16	17	1
17	9	1
17	10	1
17	16	1
17	18	1
18	17	1
18	16	1
18	23	1
18	22	1
19	20	1
19	15	1
19	16	1
19	23	1
20	14	1
20	15	1
20	19	1
20	21	1
21	20	1
21	14	1
21	13	1
21	24	1
21	26	1
22	18	1
22	23	1
23	22	1
23	18	1
23	16	1
23	19	1
24	13	1
24	21	1
24	26	1
24	25	1
25	24	1
25	26	1
26	25	1
26	24	1
26	21	1
